locality,bhk,area_sqft,furnishing,floor,total_floors,building_age_yrs,tenant_preferred,gym,swimming_pool,power_backup,lift,security,parking,club_house,dist_metro_km,dist_techpark_km,monthly_rent
Indiranagar,2,893,Fully Furnished,5,5,6,Family,1,0,0,0,0,1,0,1.2,2.6,55500
Koramangala,1,516,Semi-Furnished,6,7,15,Bachelor,1,0,1,1,1,1,1,1.1,2.1,32000
Whitefield,2,962,Fully Furnished,1,5,6,Any,0,0,1,1,1,0,0,4.4,0.2,33500
BTM Layout,3,1277,Semi-Furnished,2,10,15,Family,0,1,0,0,1,0,0,2.5,2.4,46000
Marathahalli,2,887,Fully Furnished,8,10,6,Any,0,0,0,0,0,1,0,3.5,0.7,28000
Bannerghatta Rd,2,1184,Unfurnished,6,10,20,Family,0,0,0,0,0,1,0,4.2,4.5,15000
HSR Layout,2,845,Unfurnished,5,5,6,Family,0,0,0,1,0,1,0,2.5,1.9,26000
JP Nagar,2,914,Semi-Furnished,1,5,6,Family,0,0,1,0,1,0,0,3.3,5.6,27000
Bellandur,1,527,Unfurnished,5,10,6,Any,0,0,1,0,1,0,1,4.2,0.2,14000
Vasanth Nagar,2,696,Unfurnished,3,5,6,Family,0,0,0,1,1,0,0,0.7,4.1,56500
Indiranagar,2,1051,Fully Furnished,1,10,6,Any,1,0,0,1,1,0,0,1.1,4.3,65000
HSR Layout,2,888,Fully Furnished,7,7,10,Any,0,0,1,1,1,0,1,3.0,0.8,39000
Sadashivanagar,1,524,Semi-Furnished,3,7,3,Bachelor,0,0,1,1,1,1,0,3.8,6.1,38500
Bannerghatta Rd,2,1027,Fully Furnished,3,3,10,Bachelor,0,0,1,1,0,0,0,3.9,5.3,23500
Electronic City,1,675,Semi-Furnished,7,7,6,Bachelor,0,0,1,1,1,0,0,5.4,0.6,14500
Whitefield,1,642,Unfurnished,9,10,10,Family,1,1,0,1,0,0,0,4.5,1.0,22500
Hennur,3,1502,Fully Furnished,0,5,15,Bachelor,1,0,0,0,0,0,0,4.6,6.9,22500
Electronic City,2,974,Semi-Furnished,6,10,6,Bachelor,0,1,0,0,0,0,0,5.5,0.3,19000
Jayanagar,1,510,Fully Furnished,4,5,15,Any,1,0,0,0,1,1,1,1.0,5.2,16000
Hennur,1,461,Unfurnished,0,3,15,Any,0,0,1,0,0,1,0,4.4,7.5,9000
Marathahalli,1,553,Semi-Furnished,5,5,6,Any,1,1,1,1,0,0,0,3.4,1.0,17000
Electronic City,2,903,Unfurnished,0,10,1,Any,0,0,0,0,0,1,0,6.0,0.7,15500
Hennur,1,489,Unfurnished,0,20,3,Bachelor,1,0,0,0,0,1,0,4.7,6.8,12000
BTM Layout,1,513,Unfurnished,0,5,10,Any,0,0,0,0,0,1,0,2.4,3.0,13500
Indiranagar,2,789,Fully Furnished,0,5,3,Any,1,0,1,1,1,1,0,0.8,3.7,55500
Vasanth Nagar,2,946,Fully Furnished,1,3,15,Family,1,0,1,1,0,1,0,0.9,4.4,67500
JP Nagar,2,929,Fully Furnished,3,20,3,Any,1,0,1,0,1,0,1,3.0,5.2,31000
Electronic City,2,827,Semi-Furnished,16,20,10,Bachelor,0,1,1,0,1,1,0,5.5,0.4,19500
Hennur,1,568,Semi-Furnished,10,10,20,Bachelor,0,1,1,0,1,0,0,4.0,6.6,12500
Koramangala,3,1211,Unfurnished,4,10,15,Any,1,0,1,1,1,1,0,0.7,2.2,49500
Marathahalli,3,1238,Unfurnished,1,3,6,Any,0,1,1,0,0,1,1,3.8,1.2,30500
JP Nagar,3,1310,Semi-Furnished,0,7,20,Family,1,0,1,1,1,1,0,3.3,6.0,33500
Vasanth Nagar,3,1622,Fully Furnished,1,10,6,Any,1,0,1,1,0,1,0,1.2,4.4,67500
Indiranagar,3,1382,Semi-Furnished,0,3,3,Bachelor,0,0,1,0,1,1,0,0.8,3.5,81500
BTM Layout,2,1031,Unfurnished,7,15,6,Family,0,0,1,0,1,1,1,2.0,2.1,22500
Bannerghatta Rd,1,638,Unfurnished,18,20,15,Any,1,1,0,1,0,0,0,4.0,3.4,9000
BTM Layout,2,1096,Unfurnished,7,7,20,Bachelor,0,0,0,0,1,1,0,2.3,2.6,20500
Marathahalli,2,878,Semi-Furnished,2,5,10,Any,0,1,1,1,0,0,0,3.8,1.0,29000
Sarjapur Road,2,995,Fully Furnished,1,3,10,Family,1,0,0,1,0,0,0,3.9,1.3,27500
BTM Layout,2,980,Semi-Furnished,5,10,6,Bachelor,0,0,0,0,0,0,0,2.0,2.4,25000
Begur,1,693,Fully Furnished,1,7,20,Bachelor,0,0,0,1,0,0,0,4.9,3.1,12500
Begur,2,954,Semi-Furnished,5,7,3,Bachelor,0,0,1,1,0,0,0,5.1,3.7,15500
HSR Layout,3,1452,Semi-Furnished,8,10,10,Family,1,0,0,1,0,1,0,2.6,1.8,43000
Yelahanka,2,596,Unfurnished,7,15,15,Any,1,0,1,0,1,0,0,3.6,7.4,20500
HSR Layout,2,1133,Fully Furnished,7,7,6,Bachelor,0,1,1,1,0,1,1,2.7,1.8,36000
HSR Layout,2,787,Fully Furnished,2,10,20,Any,0,0,0,1,1,1,0,2.4,1.3,26500
Koramangala,2,1060,Unfurnished,2,5,3,Bachelor,0,1,1,1,1,1,1,0.9,2.8,38000
Whitefield,3,1161,Semi-Furnished,9,10,10,Family,0,1,1,0,1,1,0,4.4,0.7,51500
Marathahalli,2,828,Semi-Furnished,2,5,3,Bachelor,1,0,0,1,1,0,0,3.3,0.6,27000
Koramangala,3,1474,Semi-Furnished,0,7,15,Bachelor,0,1,0,0,1,0,0,0.9,2.9,53500
HSR Layout,2,1030,Fully Furnished,8,15,6,Bachelor,0,1,1,0,1,0,0,2.7,0.9,42000
Bannerghatta Rd,2,931,Semi-Furnished,5,5,1,Bachelor,0,0,0,0,1,0,0,3.0,4.3,18500
HSR Layout,1,509,Semi-Furnished,0,7,10,Bachelor,0,0,1,0,0,0,0,2.3,2.9,18500
Sadashivanagar,2,916,Unfurnished,2,3,3,Family,0,0,1,1,0,0,0,3.6,6.5,61000
Yelahanka,2,1084,Unfurnished,4,5,10,Bachelor,0,0,0,0,0,0,0,3.6,8.0,18000
Attibele,2,970,Unfurnished,2,7,15,Family,1,0,0,1,0,0,0,8.4,1.3,11500
HSR Layout,2,943,Unfurnished,9,10,3,Family,1,1,1,0,1,0,0,2.5,0.8,33000
Sarjapur Road,3,1180,Fully Furnished,5,5,6,Any,1,0,0,0,0,0,0,3.8,2.2,44500
Mahadevapura,1,514,Fully Furnished,2,10,15,Bachelor,1,0,1,1,1,1,0,3.5,1.9,18500
HSR Layout,3,1384,Unfurnished,1,7,3,Any,0,0,1,1,1,1,1,3.0,1.2,40000
Bellandur,2,1127,Fully Furnished,3,3,10,Bachelor,0,1,1,0,0,1,0,3.7,1.4,30000
BTM Layout,2,1067,Unfurnished,8,10,10,Any,0,0,0,1,1,0,0,2.4,2.9,30000
Whitefield,1,618,Semi-Furnished,4,7,10,Bachelor,1,1,1,1,1,1,0,4.8,0.7,26500
Whitefield,2,942,Unfurnished,4,10,20,Any,0,0,0,0,1,0,0,4.6,1.0,19500
Marathahalli,2,966,Semi-Furnished,3,3,3,Family,0,0,0,1,0,0,0,3.4,0.8,29000
Indiranagar,1,518,Unfurnished,3,7,3,Any,0,1,1,1,1,0,0,1.2,3.7,29500
Electronic City,2,1162,Semi-Furnished,6,7,15,Any,0,1,0,1,0,0,0,5.4,0.2,13500
BTM Layout,3,1813,Semi-Furnished,0,3,3,Any,1,0,1,0,0,1,0,2.1,2.8,39000
Jayanagar,1,514,Fully Furnished,1,5,10,Family,0,1,0,1,1,0,0,1.5,4.4,32500
Koramangala,3,1207,Unfurnished,3,7,15,Family,1,1,0,0,0,0,1,0.8,1.6,60500
Whitefield,2,971,Unfurnished,2,15,3,Family,1,0,1,0,1,0,1,4.8,0.4,30000
Sarjapur Road,2,704,Unfurnished,4,10,1,Family,0,1,0,1,1,0,0,3.8,2.0,29000
Koramangala,2,912,Semi-Furnished,6,7,6,Any,1,1,1,1,1,0,0,1.5,1.9,61500
Marathahalli,1,630,Unfurnished,4,5,3,Family,0,1,0,1,1,0,0,4.3,1.0,16000
Vasanth Nagar,1,699,Fully Furnished,0,7,10,Family,1,0,0,1,1,1,0,0.6,3.4,34500
Whitefield,1,452,Semi-Furnished,7,7,3,Family,0,0,0,1,0,0,0,4.0,1.5,19000
Jayanagar,1,470,Semi-Furnished,7,7,6,Family,1,0,0,1,1,0,0,1.4,5.7,24500
Sarjapur Road,2,1091,Semi-Furnished,0,5,6,Family,1,1,1,1,1,1,0,4.1,0.6,30000
JP Nagar,3,1443,Unfurnished,10,10,20,Any,0,0,0,0,1,0,1,2.9,5.4,25500
Bannerghatta Rd,3,1562,Unfurnished,5,10,15,Bachelor,0,0,0,1,0,0,0,3.9,4.8,17500
Indiranagar,2,1157,Semi-Furnished,1,7,3,Family,1,1,1,1,1,0,0,1.0,3.0,63500
BTM Layout,1,453,Semi-Furnished,2,7,3,Bachelor,1,0,1,1,1,0,0,2.2,3.4,21000
Indiranagar,2,818,Unfurnished,8,20,3,Bachelor,1,0,1,0,1,0,1,0.6,4.0,59500
Bannerghatta Rd,2,816,Unfurnished,3,3,6,Family,0,0,1,0,1,0,1,4.4,4.6,17500
Hennur,1,531,Fully Furnished,10,10,1,Any,1,0,1,0,0,0,0,4.4,7.2,13500
HSR Layout,2,1017,Unfurnished,4,5,3,Any,1,1,0,1,1,0,0,2.9,1.2,36500
Sarjapur Road,2,778,Fully Furnished,5,10,6,Any,0,1,0,1,1,1,0,4.3,0.4,31500
Electronic City,2,918,Fully Furnished,12,15,3,Any,0,1,1,0,0,1,0,5.2,0.4,21000
Marathahalli,2,1069,Unfurnished,5,5,6,Family,1,0,0,0,1,1,0,4.2,0.2,22500
Marathahalli,3,1267,Unfurnished,6,7,6,Any,1,1,0,0,1,1,0,3.5,0.5,33000
HSR Layout,3,1454,Unfurnished,6,7,6,Any,1,1,0,0,1,1,0,2.2,2.3,44000
Indiranagar,2,948,Semi-Furnished,2,15,15,Any,0,0,1,1,0,0,0,0.2,3.7,47000
Hennur,3,1720,Semi-Furnished,3,5,6,Family,1,0,0,0,1,1,0,4.6,7.7,23500
Bannerghatta Rd,3,1227,Fully Furnished,5,10,6,Any,0,0,1,0,0,0,0,4.0,4.3,30000
Whitefield,2,818,Fully Furnished,3,3,6,Any,0,0,1,0,1,0,0,5.0,0.2,31000
BTM Layout,2,1043,Semi-Furnished,2,7,10,Any,1,0,1,1,0,0,0,2.2,2.6,28000
BTM Layout,2,1087,Unfurnished,8,10,10,Family,0,0,0,1,1,0,1,1.7,2.0,23500
Bellandur,3,1316,Unfurnished,0,15,3,Any,0,1,1,1,1,1,0,4.0,1.7,29000
Hennur,3,1310,Fully Furnished,7,7,10,Any,0,1,0,1,1,1,0,4.5,6.6,31000
Hennur,1,469,Unfurnished,11,15,10,Any,1,0,1,1,0,0,0,4.3,7.0,9000
Mahadevapura,2,937,Unfurnished,6,10,6,Bachelor,0,1,0,1,0,0,0,3.5,3.0,19500
Whitefield,2,972,Fully Furnished,3,3,6,Any,0,0,0,1,0,0,0,4.7,1.0,34000
Indiranagar,2,798,Semi-Furnished,15,20,3,Bachelor,1,1,0,1,1,1,1,0.5,3.6,55500
Sadashivanagar,1,498,Fully Furnished,4,10,10,Bachelor,1,0,1,1,1,1,0,3.2,6.2,45000
Hennur,3,1604,Semi-Furnished,3,10,10,Bachelor,0,0,1,1,1,0,0,4.7,6.5,22500
Whitefield,2,845,Unfurnished,10,20,6,Any,0,0,1,1,0,0,0,5.3,0.2,27500
Koramangala,3,1439,Fully Furnished,1,7,20,Family,1,0,1,1,0,1,1,1.0,1.8,61000
Indiranagar,3,1478,Unfurnished,0,5,6,Bachelor,0,0,1,1,1,0,0,1.0,3.6,49500
Sarjapur Road,2,837,Semi-Furnished,1,15,3,Any,1,0,1,0,1,1,0,4.1,1.6,34500
Koramangala,2,895,Semi-Furnished,10,15,6,Any,0,1,0,1,1,0,1,1.8,1.9,58000
Sadashivanagar,2,918,Unfurnished,2,7,10,Bachelor,0,0,0,1,1,1,0,3.4,5.8,61000
Marathahalli,1,574,Semi-Furnished,0,7,1,Any,1,0,0,1,0,1,0,3.3,0.5,16500
Sarjapur Road,2,972,Unfurnished,5,7,15,Any,1,1,0,1,0,1,0,3.8,2.3,28000
Sarjapur Road,1,674,Semi-Furnished,4,5,6,Family,0,1,1,1,1,0,0,4.5,0.4,16000
Vasanth Nagar,2,1001,Semi-Furnished,13,15,10,Bachelor,1,0,1,0,1,1,1,0.7,3.9,55500
Bellandur,1,391,Fully Furnished,1,7,3,Family,0,0,1,1,0,0,1,3.7,1.1,18500
HSR Layout,1,613,Fully Furnished,16,20,10,Family,0,1,0,1,1,1,0,2.6,1.4,24000
BTM Layout,1,449,Unfurnished,5,7,10,Bachelor,1,0,1,1,1,0,0,1.6,2.5,19500
Bellandur,1,578,Semi-Furnished,3,5,15,Any,0,0,0,0,1,1,0,4.3,2.0,13500
Whitefield,2,888,Semi-Furnished,0,5,6,Any,0,0,1,1,1,0,1,4.2,0.2,26000
Electronic City,2,870,Unfurnished,3,15,15,Family,0,1,1,1,0,1,0,5.6,0.2,13500
Sarjapur Road,2,1030,Fully Furnished,7,10,3,Family,1,1,1,0,0,1,0,4.1,1.2,34500
Marathahalli,1,552,Fully Furnished,6,7,6,Bachelor,0,0,1,1,1,0,0,3.0,2.1,19500
Indiranagar,1,591,Unfurnished,3,10,3,Bachelor,1,0,1,1,1,0,0,0.9,3.2,26500
BTM Layout,1,661,Semi-Furnished,1,7,15,Family,0,0,1,1,0,0,0,2.4,2.4,18500
HSR Layout,1,541,Unfurnished,1,7,15,Any,0,0,0,0,0,0,0,3.0,1.9,15000
HSR Layout,3,1518,Semi-Furnished,0,20,10,Any,0,0,0,0,1,0,1,2.5,2.0,45000
Begur,1,509,Unfurnished,4,20,10,Bachelor,0,1,0,0,0,1,0,4.7,3.8,11500
JP Nagar,2,1041,Fully Furnished,3,10,10,Any,0,1,0,0,1,0,0,2.7,4.9,25500
Hennur,1,459,Fully Furnished,1,7,20,Family,0,1,1,0,1,0,0,4.7,7.3,15000
Whitefield,1,649,Semi-Furnished,0,7,3,Any,1,0,1,0,0,0,1,4.6,1.7,14500
Mahadevapura,2,739,Semi-Furnished,0,7,10,Bachelor,0,1,0,1,1,1,1,3.6,2.0,30500
Marathahalli,2,880,Fully Furnished,4,10,10,Family,0,1,0,0,0,0,0,3.9,0.2,30000
Whitefield,1,390,Semi-Furnished,3,7,3,Any,0,0,0,1,0,0,1,4.4,0.7,19500
Yelahanka,1,547,Unfurnished,5,5,10,Bachelor,0,0,0,0,1,0,0,3.9,7.5,11500
Jayanagar,2,685,Semi-Furnished,1,10,6,Any,1,1,0,1,1,0,0,1.3,5.0,36500
Bellandur,1,527,Fully Furnished,2,7,6,Family,0,1,0,1,0,0,0,3.7,0.2,23000
HSR Layout,1,502,Semi-Furnished,1,7,6,Family,0,0,1,0,1,1,1,2.6,2.0,17000
Koramangala,3,1291,Semi-Furnished,9,10,20,Family,0,0,0,0,1,0,0,1.2,1.7,72000
Whitefield,2,974,Fully Furnished,8,20,6,Bachelor,0,1,1,1,1,1,1,4.6,0.2,36500
Jayanagar,2,960,Fully Furnished,3,5,10,Any,1,0,0,1,1,1,0,1.5,5.1,46000
Bannerghatta Rd,2,1017,Fully Furnished,1,10,10,Family,1,0,0,0,1,0,0,3.5,4.6,20500
Begur,2,880,Unfurnished,7,10,20,Any,0,0,0,1,0,0,0,4.7,3.5,12000
Bannerghatta Rd,2,1030,Semi-Furnished,5,5,1,Any,1,0,0,0,1,0,0,4.6,4.4,21000
BTM Layout,2,1014,Fully Furnished,7,10,10,Any,1,0,0,0,1,0,0,2.5,2.1,32000
Koramangala,2,880,Fully Furnished,6,7,6,Bachelor,1,1,1,1,1,1,0,1.3,2.6,65000
Bannerghatta Rd,1,533,Semi-Furnished,7,7,3,Any,0,1,0,1,0,0,0,3.1,4.6,15000
JP Nagar,2,873,Unfurnished,0,3,6,Bachelor,1,0,1,0,0,1,0,3.0,5.7,21000
Begur,2,873,Fully Furnished,8,10,3,Bachelor,0,0,0,0,0,0,0,4.3,4.4,18500
Begur,3,971,Fully Furnished,1,5,6,Family,0,0,0,0,0,0,0,4.9,3.0,18500
Electronic City,2,1000,Unfurnished,3,7,10,Family,0,0,1,0,0,1,0,5.4,0.2,15000
HSR Layout,2,1231,Semi-Furnished,4,7,10,Family,1,1,1,0,1,0,0,2.6,1.8,40500
JP Nagar,1,497,Unfurnished,3,3,6,Bachelor,0,0,0,1,1,0,0,3.0,5.8,11500
Electronic City,2,1154,Semi-Furnished,2,5,6,Family,0,0,0,1,1,0,0,5.5,0.5,15000
BTM Layout,1,459,Unfurnished,5,7,3,Family,1,0,0,1,1,0,0,2.5,3.2,17500
